NR INDV clone_lineage LOC Depth CLADE
1 DH0001_MMIR_SNA_SHA 1 SNA reef_flat Major
2 DH0002_MMIR_SNA_SHA 2 SNA reef_flat Major
3 DH0003_MMIR_SNA_SHA 3 SNA reef_flat Major
4 DH0004_MMIR_SNA_SHA 3 SNA reef_flat Major
5 DH0005_MMIR_SNA_SHA 3 SNA reef_flat Major
6 DH0006_MMIR_SNA_SHA 3 SNA reef_flat Major
7 DH0007_MMIR_SNA_SHA 3 SNA reef_flat Major
8 DH0008_MMIR_SNA_SHA 4 SNA reef_flat Major
9 DH0009_MMIR_SNA_SHA 0 SNA reef_flat Major
10 DH0010_MMIR_SNA_SHA 3 SNA reef_flat Major
11 DH0011_MMIR_SNA_SHA 3 SNA reef_flat Major
12 DH0012_MMIR_SNA_SHA 3 SNA reef_flat Major
13 DH0013_MMIR_SNA_SHA 6 SNA reef_flat Major
14 DH0014_MMIR_SNA_SHA 0 SNA reef_flat Major
15 DH0015_MMIR_SNA_SHA 3 SNA reef_flat Major
16 DH0016_MMIR_SNA_SHA 4 SNA reef_flat Major
17 DH0017_MMIR_SNA_SHA 4 SNA reef_flat Major
18 DH0018_MMIR_SNA_SHA 8 SNA reef_flat Major
19 DH0019_MMIR_SNA_SHA 9 SNA reef_flat Major
20 DH0020_MMIR_SNA_SHA 177 SNA reef_flat Minor
21 DH0021_MMIR_SNA_SHA 177 SNA reef_flat Minor
22 DH0022_MMIR_SNA_SHA 177 SNA reef_flat Minor
23 DH0023_MMIR_SNA_SHA 177 SNA reef_flat Minor
24 DH0024_MMIR_SNA_SHA 177 SNA reef_flat Minor
25 DH0025_MMIR_SNA_SHA 10 SNA reef_flat Major
26 DH0026_MMIR_SNA_SHA 10 SNA reef_flat Major
27 DH0027_MMIR_SNA_SHA 11 SNA reef_flat Major
28 DH0028_MMIR_SNA_SHA 11 SNA reef_flat Major
29 DH0029_MMIR_SNA_SHA 11 SNA reef_flat Major
30 DH0030_MMIR_SNA_SHA 11 SNA reef_flat Major
31 DH0031_MMIR_SNA_SHA 12 SNA reef_flat Major
32 DH0032_MMIR_SNA_SHA 11 SNA reef_flat Major
33 DH0033_MMIR_SNA_SHA 1 SNA reef_flat Major
34 DH0034_MMIR_SNA_SHA 1 SNA reef_flat Major
35 DH0035_MMIR_SNA_SHA 1 SNA reef_flat Major
36 DH0036_MMIR_SNA_SHA 1 SNA reef_flat Major
37 DH0037_MMIR_SNA_SHA 11 SNA reef_flat Major
38 DH0038_MMIR_SNA_SHA 1 SNA reef_flat Major
39 DH0039_MMIR_SNA_SHA 11 SNA reef_flat Major
40 DH0040_MMIR_SNA_SHA 12 SNA reef_flat Major
41 DH0041_MMIR_SNA_SHA 1 SNA reef_flat Major
42 DH0042_MMIR_SNA_SHA 1 SNA reef_flat Major
43 DH0043_MMIR_SNA_SHA 11 SNA reef_flat Major
44 DH0044_MMIR_SNA_SHA 11 SNA reef_flat Major
45 DH0045_MMIR_SNA_SHA 1 SNA reef_flat Major
46 DH0046_MMIR_SNA_SHA 1 SNA reef_flat Major
47 DH0047_MMIR_SNA_SHA 1 SNA reef_flat Major
48 DH0048_MMIR_SNA_SHA 1 SNA reef_flat Major
49 DH0049_MMIR_SNA_SHA 11 SNA reef_flat Major
50 DH0050_MMIR_SNA_SHA 11 SNA reef_flat Major
51 DH0051_MMIR_SNA_SHA 13 SNA reef_flat Major
52 DH0052_MMIR_SNA_SHA 14 SNA reef_flat Major
53 DH0053_MMIR_SNA_SHA 13 SNA reef_flat Major
54 DH0054_MMIR_SNA_SHA 13 SNA reef_flat Major
55 DH0055_MMIR_SNA_SHA 1 SNA reef_flat Major
56 DH0056_MMIR_SNA_SHA 0 SNA reef_flat Major
57 DH0057_MMIR_SNA_SHA 16 SNA reef_flat Major
58 DH0058_MMIR_SNA_SHA 10 SNA reef_flat Major
59 DH0059_MMIR_SNA_SHA 10 SNA reef_flat Major
60 DH0060_MMIR_SNA_SHA 10 SNA reef_flat Major
61 DH0061_MMIR_SNA_SHA 11 SNA reef_flat Major
62 DH0062_MMIR_SNA_SHA 11 SNA reef_flat Major
63 DH0063_MMIR_SNA_SHA 17 SNA reef_flat Major
64 DH0064_MMIR_SNA_SHA 18 SNA reef_flat Major
65 DH0065_MMIR_SNA_SHA 10 SNA reef_flat Major
66 DH0066_MMIR_SNA_SHA 18 SNA reef_flat Major
67 DH0067_MMIR_SNA_SHA 18 SNA reef_flat Major
68 DH0068_MMIR_SNA_SHA 10 SNA reef_flat Major
69 DH0069_MMIR_SNA_SHA 10 SNA reef_flat Major
