targetid,ordernumber,organism,species,sample_id,sample_id_old,site,annotation,orig_x,orig_y,orig_z,world_x,world_y,world_z,agisoft_x,agisoft_y,agisoft_z,clone_lineage,clade,shape_id,lat,lon
3690960,DMadr24-8994,Madracis,-,DH0001_MMIR_SNA,DH0001_MMIR_SNA_SHA,Snake Bay,A,-33.4312,-228.153,34.0232,-13.78526594,4.182237389,-8.468810354,-33.4312,-228.153,34.0232,1,Major,30_sna,12.138986,-68.997639
3691535,DMadr24-8994,Madracis,-,DH0001_MMIR_SNA,DH0001_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,1,Major,30_sna,12.138986,-68.997639
3690968,DMadr24-8994,Madracis,-,DH0002_MMIR_SNA,DH0002_MMIR_SNA_SHA,Snake Bay,B,-34.2452,-227.61,33.6376,-14.24834678,4.516906052,-8.738141377,-34.2452,-227.61,33.6376,2,Major,30_sna,12.138986,-68.997639
3691543,DMadr24-8994,Madracis,-,DH0002_MMIR_SNA,DH0002_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,2,Major,30_sna,12.138986,-68.997639
3690976,DMadr24-8994,Madracis,-,DH0003_MMIR_SNA,DH0003_MMIR_SNA_SHA,Snake Bay,C,-35.7608,-228.147,34.0095,-15.17435424,4.178386944,-8.636298553,-35.7608,-228.147,34.0095,3,Major,30_sna,12.138986,-68.997639
3691551,DMadr24-8994,Madracis,-,DH0003_MMIR_SNA,DH0003_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,3,Major,30_sna,12.138986,-68.997639
3690984,DMadr24-8994,Madracis,-,DH0004_MMIR_SNA,DH0004_MMIR_SNA_SHA,Snake Bay,D,-32.8539,-228.75,34.0687,-13.43984802,3.824718722,-8.419969997,-32.8539,-228.75,34.0687,3,Major,30_sna,12.138986,-68.997639
3690992,DMadr24-8994,Madracis,-,DH0005_MMIR_SNA,DH0005_MMIR_SNA_SHA,Snake Bay,E,-34.14025888,-229.1076952,34.96781585,-14.26626047,3.578494944,-7.982903917,-34.14025888,-229.1076952,34.96781585,3,Major,30_sna,12.138986,-68.997639
3691000,DMadr24-8994,Madracis,-,DH0006_MMIR_SNA,DH0006_MMIR_SNA_SHA,Snake Bay,F,-35.7034,-229.611,35.2992,-15.21809989,3.261257579,-7.907455862,-35.7034,-229.611,35.2992,3,Major,30_sna,12.138986,-68.997639
3705675,DMadr24-8994,Madracis,-,DH0007_MMIR_SNA,DH0007_MMIR_SNA_SHA,Snake Bay,G,-37.0251,-230.074,35.1485,-15.9932718,2.983665502,-8.101561182,-37.0251,-230.074,35.1485,3,Major,30_sna,12.138986,-68.997639
3705770,DMadr24-8994,Madracis,-,DH0007_MMIR_SNA,DH0007_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,3,Major,30_sna,12.138986,-68.997639
3705683,DMadr24-8994,Madracis,-,DH0008_MMIR_SNA,DH0008_MMIR_SNA_SHA,Snake Bay,H,-37.44289537,-231.6180937,35.64460421,-16.26586984,2.041015601,-7.880566081,-37.44289537,-231.6180937,35.64460421,4,Major,30_sna,12.138986,-68.997639
3705691,DMadr24-8994,Madracis,-,DH0009_MMIR_SNA,DH0009_MMIR_SNA_SHA,Snake Bay,I,-32.7001,-230.041,34.7672,-13.38692804,3.029653455,-8.03167966,-32.7001,-230.041,34.7672,0,Major,30_sna,12.138986,-68.997639
3705699,DMadr24-8994,Madracis,-,DH0010_MMIR_SNA,DH0010_MMIR_SNA_SHA,Snake Bay,J1,-34.2042,-230.496,36.1152,-14.373214,2.710684672,-7.344921806,-34.2042,-230.496,36.1152,3,Major,30_sna,12.138986,-68.997639
3705707,DMadr24-8994,Madracis,-,DH0011_MMIR_SNA,DH0011_MMIR_SNA_SHA,Snake Bay,K,-36.5559,-231.288,36.4594,-15.7944624,2.217233819,-7.324435511,-36.5559,-231.288,36.4594,3,Major,30_sna,12.138986,-68.997639
3705715,DMadr24-8994,Madracis,-,DH0012_MMIR_SNA,DH0012_MMIR_SNA_SHA,Snake Bay,L,-32.3602,-231.528,35.2897,-13.20962829,2.123004652,-7.741374429,-32.3602,-231.528,35.2897,3,Major,30_sna,12.138986,-68.997639
3705775,DMadr24-8994,Madracis,-,DH0012_MMIR_SNA,DH0012_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,3,Major,30_sna,12.138986,-68.997639
3690961,DMadr24-8994,Madracis,-,DH0013_MMIR_SNA,DH0013_MMIR_SNA_SHA,Snake Bay,M,-33.4973,-231.578,36.4218,-13.96497315,2.054760008,-7.146073192,-33.4973,-231.578,36.4218,6,Major,30_sna,12.138986,-68.997639
3691536,DMadr24-8994,Madracis,-,DH0013_MMIR_SNA,DH0013_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,6,Major,30_sna,12.138986,-68.997639
3690969,DMadr24-8994,Madracis,-,DH0014_MMIR_SNA,DH0014_MMIR_SNA_SHA,Snake Bay,N,-33.5947,-231.434,36.3758,-14.02093169,2.142201701,-7.175860875,-33.5947,-231.434,36.3758,0,Major,30_sna,12.138986,-68.997639
3691544,DMadr24-8994,Madracis,-,DH0014_MMIR_SNA,DH0014_MMIR_SNA_SHA,Snake Bay,,,,,,,,,,,0,Major,30_sna,12.138986,-68.997639
3690977,DMadr24-8994,Madracis,-,DH0015_MMIR_SNA,DH0015_MMIR_SNA_SHA,Snake Bay,O,-36.37111936,-232.0448965,36.63613001,-15.69110712,1.75849352,-7.229034513,-36.37111936,-232.0448965,36.63613001,3,Major,30_sna,12.138986,-68.997639
