Shape	Perimeter(m)	Area(m2)
1	10.71	5.55
2	0.46	0.01
3	0.94	0.06
4	63.10	26.21
5	20.12	6.85
6	4.64	0.43
7	9.04	1.90
8	17.96	4.06
9	0.69	0.03
10	2.48	0.27
11	2.92	0.47
12	1.81	0.13
13	12.36	3.29
14	63.99	27.08
15	0.79	0.03
16	3.70	0.39
17	19.61	8.32
18	8.16	2.12
19	1.70	0.16
20	7.21	1.46
21	1.28	0.11
22	3.48	0.61
23	0.62	0.02
24	0.25	0.00
25	4.77	0.38
26	1.16	0.10
27	18.18	4.28
28	11.88	2.63
29	29.60	8.76
30	0.58	0.02
31	4.31	0.73
32	0.92	0.06
33	2.39	0.42
34	15.09	2.64
35	5.37	1.21
36	4.67	0.96
37	3.95	0.76
38	6.15	0.95
39	1.48	0.13
40	3.85	0.59
41	4.85	0.87
42	4.44	0.82
43	0.44	0.01
44	5.58	1.15
45	4.39	1.14
46	1.88	0.18
47	0.49	0.01
48	2.10	0.27
49	3.37	0.65
50	0.71	0.03
51	1.25	0.09
52	1.20	0.08
53	12.02	4.74
54	0.18	0.00
55	0.67	0.03
56	3.28	0.43
57	1.80	0.20
58	13.60	3.36
59	1.83	0.167
60	3.36	0.44
61	2.07	0.24
62	8.36	2.07
63	0.39	0.01
64	2.91	0.41
65	5.31	1.20
66	0.27	0.00
67	0.86	0.04
68	2.21	0.26
69	0.69	0.03
70	0.46	0.01
71	12.99	2.42
72	1.43	0.14
73	2.11	0.21
74	1.32	0.11
75	3.93	0.50
76	0.22	0.00
77	10.43	2.17
78	13.77	4.67
79	5.85	1.22
80	0.81	0.04
81	7.26	0.78
82	4.90	1.09
83	9.78	2.65
84	6.17	0.88
85	14.60	4.75
86	2.48	0.27
87	2.18	0.24
88	1.13	0.09
89	16.01	4.12
90	7.44	1.73
91	10.24	1.91
92	0.97	0.06
93	2.03	0.29
94	1.58	0.15
95	1.24	0.11
96	1.46	0.12
97	6.58	1.50
98	4.82	1.35
99	0.59	0.02
100	0.233	0.00
101	0.66	0.03
102	0.19	0.00
103	2.99	0.42
104	5.04	0.58
105	3.93	0.80
106	1.15	0.08
107	12.73	4.60
108	3.14	0.49
109	8.52	2.80
110	3.06	0.37
111	1.54	0.11
112	3.98	1.04
113	0.62	0.02
114	0.56	0.01









