Shape	Perimeter(m)	Area(m2)
1	3.52	0.79
2	2.17	0.30
3	1.49	0.14
4	35.12	35.64
5	1.13	0.09
6	1.33	0.07
7	46.25	31.38
8	2.10	0.32
9	1.11	0.08
10	0.94	0.06
11	1.21	0.06
12	5.63	1.99
13	9.50	2.66
14	40.17	41.3
15	5.14	1.46
16	158.08	177.01
17	14.54	3.93
18	1.36	0.13
19	0.91	0.04
20	7.96	2.68
21	0.50	0.01
22	0.66	0.03
23	0.92	0.05
24	1.13	0.09
25	1.24	0.11
26	0.55	0.02
27	3.70	0.51
28	4.86	1.44
29	1.27	0.10
30	1.35	0.11
31	0.99	0.06
32	15.02	4.13
33	2.34	0.37
34	3.57	0.77
35	1.38	0.12
36	1.77	0.20
37	1.38	0.13
38	2.78	0.45
39	3.32	0.81
40	3.11	0.65
41	3.15	0.69
42	2.05	0.21
43	48.73	28.96
44	24.88	21.21
45	1.97	0.27
46	1.78	0.22
47	1.28	0.09
49	36.74	25.44
50	3.60	0.76
51	3.73	0.75
52	1.89	0.23
53	1.26	0.10
54	1.54	0.15
55	1.56	0.15
56	12.50	4.24
57	1.14	0.08
58	1.21	0.10
59	1.01	0.06
60	0.57	0.02
61	0.53	0.02
62	1.66	0.15



