Shape	Perimeter(m)	Area(m2)
1	3.71	0.91
24	44.55	26.23
23	1.27	0.12
27	0.29	0.00
22	1.10	0.09
29	6.05	1.77
30	25.79	26.36
31	9.72	3.77
32	0.75	0.04
33	2.53	0.32
34	0.42	0.00
35	0.25	0.00
36	1.12	0.08
37	1.44	0.09
74	84.69	107.24
75	8.55	1.65
81	14.21	10.09
77	37.16	28.71
52	35.46	26.08
48	8.87	3.28
47	6.16	1.65
53	15.20	5.37
85	15.23	8.01
82	6.90	2.33
56	90.75	67.53
60	17.77	10.17
51	5.089	1.566
45	8.61	1.81
84	11.41	7.14
72	18.16	9.01
44	25.45	15.35
41	4.54	1.37
40	8.27	2.18
39	1.51	0.10
28	1.70	0.16
18	3.11	0.47
17	7.76	1.80
19	0.73	0.03
20	4.07	0.33
21	1.14	0.09
13	54.10	41.77
14	2.76	0.55
11	2.46	0.28
9	4.19	0.80
7	1.50	0.15
8	1.84	0.19
10	2.50	0.19
6	2.63	0.36
4	1.23	0.09
3	1.56	0.14
2	1.10	0.07
50	0.18	0.00
38	0.74	0.04
15	1.80	0.22
16	0.66	0.03
25	0.39	0.01
26	0.41	0.01
42	0.43	0.01
43	0.99	0.06
46	12.41	4.12
49	0.19	0.00
54	12.91	4.29
55	11.77	6.13
57	6.91	1.96
58	1.31	0.10
59	0.60	0.02
61	0.65	0.03
86	0.77	0.04
87	0.43	0.01
62	0.50	0.01
63	0.55	0.02
64	0.63	0.02
65	0.51	0.02
66	0.60	0.02
67	0.56	0.02
88	0.42	0.01
89	1.03	0.06
69	3.02	0.57
68	0.64	0.02
71	0.78	0.04
70	0.65	0.03
73	37.30	20.94
83	1.65	0.18
78	11.59	4.79
79	1.13	0.08
76	0.51	0.01


