shape_id	n_points	z_min	z_max	z_range	area_2d	perimeter	Environment	Site
1_kal	40062	-14.95340551840317	-12.165240501475367	2.7881650169278025	2.722893678490327	7.4712226519085005	Slope	Playa Kalki
1_kal	40062	-14.95340551840317	-12.165240501475367	2.7881650169278025	2.722893678490327	7.4712226519085005	Crest	Playa Kalki
10_kal	1159	-6.76890842740931	-6.476936134236391	0.2919722931729192	0.1297229577499976	1.7270297177781024	Crest	Playa Kalki
100_kal	12	-9.03848079780499	-9.022925776518813	0.01555502128617725	0.0019008432093159985	0.1800674970860928	Crest	Playa Kalki
101_kal	129	-9.794912271225504	-9.575956840423425	0.21895543080207958	0.012574788920134906	0.4430371977678243	Crest	Playa Kalki
102_kal	17	-9.966494903364199	-9.906234689099975	0.06026021426422368	0.0012738545003508827	0.1424401594678761	Crest	Playa Kalki
103_kal	2351	-10.475869021231	-9.084944803038319	1.3909242181926817	0.20338352160372244	2.0708526866212735	Crest	Playa Kalki
104_kal	3510	-11.299466725286539	-9.765937066453308	1.5335296588332312	0.23347153058899564	3.344750412864173	Crest	Playa Kalki
105_kal	3645	-8.755683203472175	-7.980408044990916	0.7752751584812598	0.4061789718758788	2.7863366867874895	Crest	Playa Kalki
106_kal	765	-8.980110440518006	-7.95507982748722	1.0250306130307862	0.029492191772478013	0.7931759313456774	Crest	Playa Kalki
107_kal	23807	-9.887227109998014	-7.789269743452866	2.097957366545147	2.1658426586128248	8.735360466131691	Crest	Playa Kalki
108_kal	2260	-11.064592313258451	-10.626760052394275	0.4378322608641767	0.233857614788506	2.197867490474369	Crest	Playa Kalki
109_kal	14124	-11.5126832141141	-9.697981227281556	1.814701986832544	1.3289086048481755	5.811056377080983	Crest	Playa Kalki
11_kal	2324	-6.413677210049132	-5.804873629774717	0.6088035802744143	0.23305150971456712	2.0384129164080287	Crest	Playa Kalki
11_kal	2324	-6.413677210049132	-5.804873629774717	0.6088035802744143	0.23305150971456712	2.0384129164080287	Terrace	Playa Kalki
110_kal	2229	-12.466658578466728	-10.80741536408307	1.6592432143836575	0.1853031752202273	2.130685234245862	Crest	Playa Kalki
111_kal	1312	-13.216571771665503	-12.108683375593175	1.1078883960723278	0.05037546684358845	1.0011330447615452	Slope	Playa Kalki
111_kal	1312	-13.216571771665503	-12.108683375593175	1.1078883960723278	0.05037546684358845	1.0011330447615452	Crest	Playa Kalki
112_kal	6519	-10.011102159493259	-7.3946091591978655	2.6164930002953932	0.5039079562435111	2.7991020413832994	Crest	Playa Kalki
113_kal	198	-11.99069155781531	-11.684124842910334	0.3065667149049762	0.010885470224305704	0.42430408959834637	Crest	Playa Kalki
114_kal	70	-6.10953572005556	-5.9602856337261585	0.14925008632940173	0.006711625691743525	0.38992735973929954	Crest	Playa Kalki
114_kal	70	-6.10953572005556	-5.9602856337261585	0.14925008632940173	0.006711625691743525	0.38992735973929954	Terrace	Playa Kalki
12_kal	1183	-6.655453813810147	-4.98151124216432	1.673942571645827	0.05573619296966159	1.281794673525586	Crest	Playa Kalki
12_kal	1183	-6.655453813810147	-4.98151124216432	1.673942571645827	0.05573619296966159	1.281794673525586	Terrace	Playa Kalki
13_kal	18543	-5.590730740006482	-4.14366970909646	1.4470610309100218	1.647571386681346	9.346855297928299	Terrace	Playa Kalki
14_kal	149350	-6.755065253651159	-4.145775539426519	2.60928971422464	13.041700339899396	44.997316398290664	Crest	Playa Kalki
14_kal	149350	-6.755065253651159	-4.145775539426519	2.60928971422464	13.041700339899396	44.997316398290664	Terrace	Playa Kalki
15_kal	175	-6.729061906564559	-6.341762135674697	0.3872997708898618	0.01798674225472717	0.5848272149063055	Crest	Playa Kalki
16_kal	2773	-6.884302813749549	-5.9948370604337775	0.8894657533157719	0.18087674742769932	2.6116382719336904	Crest	Playa Kalki
16_kal	2773	-6.884302813749549	-5.9948370604337775	0.8894657533157719	0.18087674742769932	2.6116382719336904	Terrace	Playa Kalki
17_kal	50416	-7.925259566200417	-5.553045368781525	2.3722141974188915	3.775366188778041	13.446811978804131	Crest	Playa Kalki
17_kal	50416	-7.925259566200417	-5.553045368781525	2.3722141974188915	3.775366188778041	13.446811978804131	Terrace	Playa Kalki
18_kal	10792	-7.9071444773688215	-6.105700288075758	1.801444189293064	1.0568120322850942	5.869336589704935	Crest	Playa Kalki
19_kal	855	-7.02657675288944	-6.695343879546641	0.33123287334279894	0.08497657749585767	1.2142790700931991	Crest	Playa Kalki
2_kal	162	-14.297684645205615	-13.443223981072752	0.8544606641328638	0.004348415360127998	0.29090026305777117	Slope	Playa Kalki
20_kal	8530	-8.358363459650777	-6.5203913519194305	1.8379721077313462	0.6572957404135457	4.825776326505237	Crest	Playa Kalki
