ID	orig_x	orig_y	orig_z	Annotation	label_conf	world_x	world_y	world_z
DH0001_MMIR_SNA	-33.4312	-228.153	34.0232	A		-13.78526594	4.182237389	-8.468810354
DH0002_MMIR_SNA	-34.2452	-227.61	33.6376	B		-14.24834678	4.516906052	-8.738141377
DH0003_MMIR_SNA	-35.7608	-228.147	34.0095	C		-15.17435424	4.178386944	-8.636298553
DH0004_MMIR_SNA	-32.8539	-228.75	34.0687	D		-13.43984802	3.824718722	-8.419969997
DH0005_MMIR_SNA	-34.14025888	-229.1076952	34.96781585	E		-14.26626047	3.578494944	-7.982903917
DH0006_MMIR_SNA	-35.7034	-229.611	35.2992	F		-15.21809989	3.261257579	-7.907455862
DH0007_MMIR_SNA	-37.0251	-230.074	35.1485	G		-15.9932718	2.983665502	-8.101561182
DH0008_MMIR_SNA	-37.44289537	-231.6180937	35.64460421	H		-16.26586984	2.041015601	-7.880566081
DH0009_MMIR_SNA	-32.7001	-230.041	34.7672	I		-13.38692804	3.029653455	-8.03167966
DH0010_MMIR_SNA	-34.2042	-230.496	36.1152	J1		-14.373214	2.710684672	-7.344921806
DH0011_MMIR_SNA	-36.5559	-231.288	36.4594	K		-15.7944624	2.217233819	-7.324435511
DH0012_MMIR_SNA	-32.3602	-231.528	35.2897	L		-13.20962829	2.123004652	-7.741374429
DH0013_MMIR_SNA	-33.4973	-231.578	36.4218	M		-13.96497315	2.054760008	-7.146073192
DH0014_MMIR_SNA	-33.5947	-231.434	36.3758	N		-14.02093169	2.142201701	-7.175860875
DH0015_MMIR_SNA	-36.37111936	-232.0448965	36.63613001	O		-15.69110712	1.75849352	-7.229034513
DH0016_MMIR_SNA	-37.3515	-232.757	36.3263	P1		-16.25007468	1.337477315	-7.502027526
DH0017_MMIR_SNA	-34.3662	-234.136	36.4808	Q		-14.47000171	0.515726603	-7.246677447
DH0018_MMIR_SNA	-46.8011	-226.9	35.3571	R		-21.86209386	4.848103258	-8.551954444
DH0019_MMIR_SNA	-63.5114	-231.648	38.6109	S		-32.02206639	1.844885782	-7.898624143
DH0020_MMIR_SNA	-84.2091	-228.807	39.9465	T		-44.48204764	3.438451455	-8.435125071
DH0021_MMIR_SNA	-84.1765	-226.61	39.0034	U		-44.41324056	4.785006794	-8.929402043
DH0022_MMIR_SNA	-86.26	-226.661	39.7135	V		-45.70447351	4.725795347	-8.650409148
